id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,VP,DEMOage,DEMOgender[DEMOgender],DEMOweight,DEMOheight,SBPS[SBPS01],SBPS[SBPS02],SBPS[SBPS03],SBPS[SBPS04],SBPS[SBPS05],SBPS[SBPS06],SBPS[SBPS07],SBPS[SBPS08],Abas[MSBS01],Abas[MSBS03],Abas[MSBS09],Abas[MSBS10],Abas[MSBS22],Abas[MSBS23],Abas[MSBS24],Abas[MSBS28],Experimentfragen[SQ001],STOPP[SQ001],Counterbalance[order],CUAbas[SQ001_SQ004],CUAbas[SQ002_SQ004],CUAbas[SQ003_SQ004],CUA1[effort_SQ001],CUA1[boredom_SQ001],CUA1[pain_SQ001],countA1,CUA2[effort_SQ001],CUA2[boredom_SQ001],CUA2[pain_SQ001],countA2,CUA3[effort_SQ001],CUA3[boredom_SQ001],CUA3[pain_SQ001],countA3,CUApos[effort_SQ001],CUApos[boredom_SQ001],CUApos[pain_SQ001],countApos,Apos[MSBS01],Apos[MSBS03],Apos[MSBS09],Apos[MSBS10],Apos[MSBS22],Apos[MSBS23],Apos[MSBS24],Apos[MSBS28],STOPP2[SQ001],MSBSBbas[MSBS01],MSBSBbas[MSBS03],MSBSBbas[MSBS09],MSBSBbas[MSBS10],MSBSBbas[MSBS22],MSBSBbas[MSBS23],MSBSBbas[MSBS24],MSBSBbas[MSBS28],STOPP3[SQ001],CUBbas[effort_SQ001],CUBbas[boredom_SQ001],CUBbas[pain_SQ001],CUB1[effort_SQ001],CUB1[boreodm_SQ001],CUB1[pain_SQ001],countB1,CUB2[effort_SQ001],CUB2[boredom_SQ001],CUB2[pain_SQ001],countB2,CUB3[effort_SQ001],CUB3[boredom_SQ001],CUB3[pain_SQ001],countB3,CUBpos[effort_SQ001],CUBpos[boredom_SQ001],CUBpos[pain_SQ001],countBpos,Bpos[MSBS01],Bpos[MSBS03],Bpos[MSBS09],Bpos[MSBS10],Bpos[MSBS22],Bpos[MSBS23],Bpos[MSBS24],Bpos[MSBS28],podcastpreference,STOP5[SQ001],comment
38,26.06.2024 16:12,17,de,1563556884,26.06.2024 15:11,26.06.2024 16:12,CA11UR11,22,männlich,83,185,2,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,2,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,5,2,3,2,5,3,2,Ja,Ja,HB_LB,0,0,0,1,3,0,10,1,6,0,16,2,5,0,21,3,6,0,29,4,3,2,4,2,3,1 - stimme überhaupt nicht zu,3,Ja,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,2,Ja,1,2,0,1,2,0,4,2,2,0,4,2,1,0,5,2,1,0,9,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 2,Ja,A-HB-t1 reden
B-LB-t1reden ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"des Fußballs nicht gezählt bei podcast""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,27.06.2024 10:14,17,de,1585342544,27.06.2024 09:04,27.06.2024 10:14,SA09OR12,23,männlich,84,179,2,2,6,2,2,2,1 - stimme überhaupt nicht zu,2,4,2,1 - stimme überhaupt nicht zu,5,5,2,5,2,Ja,Ja,LB_HB,0,6,0,3,3,0,9,4,3,0,12,4,3,0,14,5,3,0,17,3,3,1 - stimme überhaupt nicht zu,2,3,2,5,2,Ja,2,4,6,4,5,2,6,6,Ja,4,5,0,5,5,0,7,5,5,3,12,4,5,0,18,5,5,0,24,3,3,5,3,3,2,6,2,Podcast 1,Ja,"beim block zwei haben wir den letzten baseline fragebogen vergessen, weil er aber vr schon aufhatte haben wir ihm die fragen vorgelesen"
40,NA,-1,de,555030628,01.07.2024 11:27,01.07.2024 11:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
41,01.07.2024 13:33,17,de,1218637367,01.07.2024 11:34,01.07.2024 13:33,CH10AN25,26,männlich,89,191,6,2,4,4,3,3,3,1 - stimme überhaupt nicht zu,4,3,2,2,2,3,4,3,Ja,Ja,HB_LB,1,2,2,2,3,2,18,2,4,2,26,4,4,2,36,3,5,2,51,6,4,3,6,4,4,5,6,Ja,4,3,3,5,4,4,6,6,Ja,1,3,2,1,3,2,7,2,2,2,13,3,2,2,16,3,3,2,19,4,4,3,3,3,4,4,5,Podcast 2,Ja,"Participant also counted composed nouns in the first condition, because he forgot the task!"
42,02.07.2024 15:17,17,de,1252495755,02.07.2024 13:47,02.07.2024 15:17,BG22OE24,24,weiblich,66,172,3,1 - stimme überhaupt nicht zu,4,2,2,4,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,3,2,4,5,2,2,Ja,Ja,LB_HB,0,0,0,1,2,0,9,1,2,0,10,4,2,2,12,4,4,4,16,5,3,1 - stimme überhaupt nicht zu,2,4,3,2,3,Ja,2,2,1 - stimme überhaupt nicht zu,2,7 - stimme voll und ganz zu,3,2,4,Ja,1,1,2,2,5,2,5,6,5,6,9,5,4,3,12,NA,NA,NA,0,5,5,1 - stimme überhaupt nicht zu,5,6,4,4,4,Podcast 1,Ja,"In the second condition: after the second block/beginning of third block, the participant got sick, so we stopped and deleted the thrid block. The participant took a break and than continued for the thrid block of the second condition. But then the participant got sick again and we stopped the whole measurement. So there is no VR  data for the 4. block. Only the first two blocks of the psychopy data are valueble. The participant completed all surveys. "
43,04.07.2024 10:55,17,de,1144124109,04.07.2024 09:40,04.07.2024 10:55,TESTJS,28,weiblich,66,167,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,2,Ja,Ja,LB_HB,0,1,0,1,2,0,6,2,2,0,15,2,2,1,21,3,3,1,30,1 - stimme überhaupt nicht zu,2,2,2,2,1 - stimme überhaupt nicht zu,2,2,Ja,3,2,2,2,3,3,2,3,Ja,1,1,1,1,1,1,6,1,0,1,13,2,1,2,22,2,2,3,27,1 - stimme überhaupt nicht zu,2,2,3,3,2,2,3,Podcast 2,Ja,NA
44,08.07.2024 12:21,17,de,1935224458,08.07.2024 11:13,08.07.2024 12:21,UL01RL21,22,weiblich,65,171,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,0,0,0,0,0,6,0,1,0,10,0,1,0,13,1,1,0,19,2,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,0,0,0,0,0,0,7,1,0,1,14,1,0,2,19,1,0,2,24,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 2,Ja,-
45,08.07.2024 14:03,17,de,1206024755,08.07.2024 12:48,08.07.2024 14:03,MI27ER17,23,männlich,89,189,3,2,2,2,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,3,4,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,1,1,0,1,1,1,6,2,2,1,11,3,2,3,14,3,2,3,18,3,3,1 - stimme überhaupt nicht zu,2,2,2,1 - stimme überhaupt nicht zu,2,Ja,2,2,1 - stimme überhaupt nicht zu,3,3,2,1 - stimme überhaupt nicht zu,3,Ja,1,2,1,2,1,2,11,2,3,3,17,2,3,3,23,3,4,3,29,3,2,1 - stimme überhaupt nicht zu,3,2,4,1 - stimme überhaupt nicht zu,2,Podcast 1,Ja,NA
46,08.07.2024 17:22,17,de,176346591,08.07.2024 16:10,08.07.2024 17:22,JU20ÜC09,25,weiblich,59,171,2,2,3,3,3,2,2,1 - stimme überhaupt nicht zu,3,5,3,2,4,5,2,2,Ja,Ja,HB_LB,2,3,0,3,5,0,7,3,6,1,13,4,7,1,15,4,7,1,19,5,5,4,6,6,6,5,6,Ja,4,5,4,5,5,6,5,5,Ja,3,6,0,3,8,0,11,4,9,1,17,4,9,3,23,5,9,3,31,6,7 - stimme voll und ganz zu,5,6,7 - stimme voll und ganz zu,6,4,6,Podcast 1,Ja,Messung VR_B_HB wurde zu spät gestartet
47,08.07.2024 18:47,17,de,731546634,08.07.2024 17:36,08.07.2024 18:47,CL22OE02,23,weiblich,78,175,2,1 - stimme überhaupt nicht zu,3,2,3,2,1 - stimme überhaupt nicht zu,2,2,4,5,4,6,4,2,2,Ja,Ja,HB_LB,1,2,1,2,2,2,11,2,2,2,18,2,3,2,24,2,3,2,32,3,3,3,5,5,5,5,6,Ja,5,3,4,5,6,4,3,5,Ja,2,2,2,2,2,2,6,2,2,2,15,2,2,2,22,2,2,3,27,2,2,4,2,5,2,2,2,Podcast 2,Ja,"B_LB_t2 incomplite, delayed start and earlier stopp (VR&Psychopy)"
48,11.07.2024 11:42,17,de,1061447751,11.07.2024 10:05,11.07.2024 11:42,SI21ÜR22,26,männlich,95,192,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,6,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,5,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,2,0,4,3,1,9,3,6,1,10,4,7,4,13,4,7,5,19,5,4,1 - stimme überhaupt nicht zu,4,1 - stimme überhaupt nicht zu,4,6,2,Ja,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,4,1 - stimme überhaupt nicht zu,Ja,3,2,0,5,5,4,7,4,6,6,13,5,7,6,15,4,6,6,19,5,4,1 - stimme überhaupt nicht zu,5,1 - stimme überhaupt nicht zu,4,6,1 - stimme überhaupt nicht zu,Podcast 2,Ja,"Beide Hände sind eingeschlafen, Participant musst sehr lange warten "
49,17.07.2024 09:32,17,de,1235815622,17.07.2024 08:20,17.07.2024 09:32,an29ra22,22,weiblich,62,166,3,2,2,2,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,5,2,1 - stimme überhaupt nicht zu,3,4,3,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,1,1,0,2,1,0,7,2,1,0,12,3,1,1,15,3,2,1,18,4,1 - stimme überhaupt nicht zu,3,3,5,4,5,4,Ja,3,2,2,3,5,4,4,5,Ja,2,1,0,3,2,1,11,3,2,1,17,3,3,1,23,4,3,1,30,3,5,4,4,6,5,5,4,Podcast 1,Ja,NA
