ID,condition,expected_counter_readings,available_counter_readings,missing_counter_readings,documented_missing_readings,unexpected_missing_readings,invalid_values_converted_to_na,counter_sequence_decreased,review_status
DO11UB30,LB,4,4,0,0,0,0,FALSE,COMPLETE
DO13UE03,HB,4,0,4,4,0,0,FALSE,DOCUMENTED_MISSING
DO13UE03,LB,4,4,0,0,0,0,FALSE,COMPLETE
EL30AD28,HB,4,4,0,0,0,0,FALSE,COMPLETE
EL30AD28,LB,4,4,0,0,0,0,FALSE,COMPLETE
HE20ÜB06,HB,4,4,0,0,0,0,FALSE,COMPLETE
HE20ÜB06,LB,4,4,0,0,0,0,FALSE,COMPLETE
IN06UE25,HB,4,4,0,0,0,0,FALSE,COMPLETE
IN06UE25,LB,4,4,0,0,0,0,FALSE,COMPLETE
JE06AD10,HB,4,4,0,0,0,0,FALSE,COMPLETE
JE06AD10,LB,4,4,0,0,0,0,FALSE,COMPLETE
JO26EI26,HB,4,4,0,0,0,0,FALSE,COMPLETE
JO26EI26,LB,4,4,0,0,0,0,FALSE,COMPLETE
JU20ÜC09,HB,4,4,0,0,0,0,FALSE,COMPLETE
JU20ÜC09,LB,4,4,0,0,0,0,FALSE,COMPLETE
KA09ÜH17,HB,4,4,0,0,0,0,FALSE,COMPLETE
KA09ÜH17,LB,4,4,0,0,0,0,FALSE,COMPLETE
KA14RE15,HB,4,4,0,0,0,0,FALSE,COMPLETE
KA14RE15,LB,4,1,3,3,0,0,FALSE,DOCUMENTED_MISSING
KE30IE06,HB,4,4,0,0,0,0,FALSE,COMPLETE
KE30IE06,LB,4,4,0,0,0,0,FALSE,COMPLETE
KO24IE08,HB,4,4,0,0,0,0,FALSE,COMPLETE
KO24IE08,LB,4,4,0,0,0,0,FALSE,COMPLETE
LE11ON12,HB,4,4,0,0,0,0,FALSE,COMPLETE
LE11ON12,LB,4,4,0,0,0,0,FALSE,COMPLETE
MA25UT20,HB,4,4,0,0,0,0,FALSE,COMPLETE
MA25UT20,LB,4,4,0,0,0,0,FALSE,COMPLETE
MI27ER17,HB,4,4,0,0,0,0,FALSE,COMPLETE
MI27ER17,LB,4,4,0,0,0,0,FALSE,COMPLETE
NF16CH30,HB,4,4,0,0,0,0,FALSE,COMPLETE
NF16CH30,LB,4,4,0,0,0,0,FALSE,COMPLETE
PE16IN18,HB,4,4,0,0,0,0,FALSE,COMPLETE
PE16IN18,LB,4,4,0,0,0,0,FALSE,COMPLETE
RE13ON18,HB,4,4,0,0,0,0,FALSE,COMPLETE
RE13ON18,LB,4,4,0,0,0,0,FALSE,COMPLETE
SA09OR12,HB,4,4,0,0,0,0,FALSE,COMPLETE
SA09OR12,LB,4,4,0,0,0,0,FALSE,COMPLETE
SI21ÜR22,HB,4,4,0,0,0,0,FALSE,COMPLETE
SI21ÜR22,LB,4,4,0,0,0,0,FALSE,COMPLETE
SI22IE06,HB,4,4,0,0,0,0,FALSE,COMPLETE
SI22IE06,LB,4,4,0,0,0,0,FALSE,COMPLETE
TA17ER04,HB,4,4,0,0,0,0,FALSE,COMPLETE
TA17ER04,LB,4,4,0,0,0,0,FALSE,COMPLETE
UL01RL21,HB,4,4,0,0,0,0,FALSE,COMPLETE
UL01RL21,LB,4,4,0,0,0,0,FALSE,COMPLETE
UL22ON24,HB,4,4,0,0,0,0,FALSE,COMPLETE
UL22ON24,LB,4,4,0,0,0,0,FALSE,COMPLETE
UR31EM17,HB,4,4,0,0,0,0,FALSE,COMPLETE
UR31EM17,LB,4,4,0,0,0,0,FALSE,COMPLETE
